"siteid"	"datasetid"	"sitename"	"lat"	"long"	"depth"	"Age_Source"	"minAgeBP"	"maxAgeBP"	"medianAgeBP"	"meanAgeBP"	"Abies"	"Acer"	"Alnus"	"Amaranthaceae"	"Apiaceae"	"Artemisia"	"Asteraceae"	"Betula"	"Boraginaceae"	"Brassicaceae"	"Campanulaceae"	"Cannabaceae"	"Caprifoliaceae"	"Caryophyllaceae"	"Convolvulaceae"	"Cornus"	"Corylus"	"Cyperaceae"	"Ephedraceae"	"Ericales"	"Euonymus"	"Euphorbiaceae"	"Fabaceae"	"Fagus"	"Fraxinus"	"Gentianaceae"	"Geraniaceae"	"Grossulariaceae"	"HippophaÃ« rhamnoides"	"Juglans"	"Lamiaceae"	"Liliaceae"	"Linaceae"	"Lythraceae"	"Malvaceae"	"Onagraceae"	"Ostrya.Carpinus"	"Picea"	"Pinus"	"Plantaginaceae"	"Plumbaginaceae"	"Poaceae"	"Polemoniaceae"	"Polygalaceae"	"Polygonaceae"	"Primulaceae"	"Quercus"	"Ranunculaceae"	"Rosaceae"	"Rubiaceae"	"Rumex"	"Salix"	"Sambucus"	"Santalaceae"	"Scrophulariaceae"	"Solanaceae"	"Thalictrum"	"Tilia"	"Ulmus"	"Urticaceae"	"Viburnum"
703	723	"Dovjok Swamp"	48.75	28.25	40	"AWI"	40	-76	198	73	0	0	1	31	1	4	0	4	0	1	0	1	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	14	0	0	119	0	0	0	0	4	2	2	1	1	1	0	0	0	0	0	1	0	1	0
703	723	"Dovjok Swamp"	48.75	28.25	50	"AWI"	50	-47	433	216	0	1	6	48	2	13	0	8	0	1	0	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	14	0	0	51	0	1	0	0	5	7	0	1	1	1	1	0	1	1	0	1	0	1	0
703	723	"Dovjok Swamp"	48.75	28.25	60	"AWI"	60	-26	679	358	0	1	7	34	0	9	0	14	0	1	0	1	0	0	0	0	3	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	1	70	0	0	0	0	8	3	2	0	1	2	1	0	1	0	0	1	0	1	0
703	723	"Dovjok Swamp"	48.75	28.25	70	"AWI"	70	177	782	490	1	1	15	41	2	7	0	20	0	2	0	11	0	0	0	0	3	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	73	0	0	0	0	5	4	0	0	0	1	0	0	1	1	0	1	0	3	0
703	723	"Dovjok Swamp"	48.75	28.25	80	"AWI"	80	443	827	618	0	1	8	20	2	11	0	17	0	1	0	9	0	0	0	0	5	0	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	2	0	0	1	19	0	1	89	0	0	0	0	6	4	3	0	1	1	1	0	1	0	0	1	0	0	1
703	723	"Dovjok Swamp"	48.75	28.25	90	"AWI"	90	665	902	745	0	1	5	35	4	12	0	15	0	3	0	10	0	0	0	0	2	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	11	0	0	65	0	0	0	0	12	1	0	0	1	1	1	0	0	0	0	1	0	8	0
703	723	"Dovjok Swamp"	48.75	28.25	100	"AWI"	100	736	1067	869	0	1	6	41	4	12	0	15	0	3	0	9	0	0	0	0	4	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	89	0	0	0	0	11	8	0	0	1	3	0	0	1	0	0	1	0	4	0
703	723	"Dovjok Swamp"	48.75	28.25	120	"AWI"	120	809	1360	1060	0	0	6	33	5	10	0	13	0	4	0	3	0	0	0	0	6	0	1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	22	0	0	132	0	0	0	0	10	3	2	1	1	0	1	0	5	0	0	1	0	0	1
703	723	"Dovjok Swamp"	48.75	28.25	130	"AWI"	130	843	1549	1148	0	0	4	10	7	10	0	9	0	9	0	0	0	0	0	0	3	15	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	63	0	1	128	0	0	0	0	18	16	0	3	0	4	0	0	0	0	0	3	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	140	"AWI"	140	970	1589	1251	0	0	8	2	4	9	0	14	0	2	0	1	0	0	0	0	6	19	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	2	58	0	0	129	0	0	0	0	19	6	4	1	0	1	0	0	2	0	0	5	4	0	0
703	723	"Dovjok Swamp"	48.75	28.25	150	"AWI"	150	1043	1637	1364	2	0	5	4	1	3	0	5	0	1	0	0	0	0	0	0	2	35	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	7	166	0	0	0	0	0	0	0	33	10	0	5	0	1	0	0	0	0	0	5	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	160	"AWI"	160	1105	1716	1473	0	0	6	5	4	6	0	9	0	15	0	3	0	0	0	0	5	26	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	139	0	0	0	0	0	0	0	32	5	0	1	1	3	0	0	1	0	0	4	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	170	"AWI"	170	1251	1758	1547	0	1	4	3	18	14	0	31	1	13	1	0	0	0	0	0	3	18	1	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	33	0	0	0	0	1	0	0	38	30	0	5	0	1	0	0	7	0	0	3	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	180	"AWI"	180	1403	1787	1613	1	0	4	4	0	11	0	10	0	6	0	0	0	0	0	0	5	22	0	0	0	2	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	37	179	0	0	0	0	0	0	0	46	6	0	7	1	1	0	0	1	0	0	12	8	0	0
703	723	"Dovjok Swamp"	48.75	28.25	190	"AWI"	190	1506	1839	1696	0	0	9	8	5	24	0	9	0	6	0	0	0	0	0	0	4	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	123	0	0	66	0	0	0	0	16	16	0	4	0	4	0	0	1	0	0	2	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	200	"AWI"	200	1563	1893	1739	0	0	3	5	1	5	0	8	0	2	0	1	0	0	0	0	3	75	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	3	0	0	11	6	82	0	0	66	0	0	0	0	28	13	0	12	0	1	1	0	1	0	0	2	4	0	0
703	723	"Dovjok Swamp"	48.75	28.25	210	"AWI"	210	1600	1917	1766	0	0	4	5	5	5	0	6	0	1	0	0	0	0	0	2	4	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	80	0	0	69	0	0	0	0	40	10	0	0	1	2	0	0	0	0	0	4	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	220	"AWI"	220	1635	1949	1792	0	0	2	3	1	2	0	4	0	1	0	0	0	0	0	0	2	164	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	14	70	0	0	19	0	0	0	0	33	6	0	2	1	2	1	0	1	0	0	3	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	230	"AWI"	230	1670	1981	1824	0	1	6	3	1	4	0	13	0	4	0	1	0	0	0	0	7	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	96	0	0	88	0	0	0	0	54	4	0	5	1	2	0	0	2	0	0	6	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	240	"AWI"	240	1744	2026	1873	0	0	6	1	0	2	0	13	0	0	0	0	0	0	0	0	4	109	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10	145	0	0	69	0	0	0	0	48	4	0	6	0	1	1	0	0	0	0	6	3	0	0
703	723	"Dovjok Swamp"	48.75	28.25	250	"AWI"	250	1784	2085	1926	1	0	13	1	0	6	0	30	0	1	0	0	0	0	0	0	10	5	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	50	0	0	0	0	1	0	0	45	49	0	4	0	3	0	0	0	0	0	2	11	0	0
703	723	"Dovjok Swamp"	48.75	28.25	260	"AWI"	260	1805	2182	1975	0	0	3	14	2	11	0	17	0	1	0	1	0	0	0	0	4	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	37	0	0	128	0	0	0	0	22	3	0	3	1	5	0	0	1	0	0	3	5	0	0
703	723	"Dovjok Swamp"	48.75	28.25	270	"AWI"	270	1903	2215	2046	0	0	4	4	1	20	0	16	0	4	0	0	0	0	0	0	6	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	67	0	0	116	0	0	0	0	66	9	0	7	0	11	0	0	0	0	0	3	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	280	"AWI"	280	1971	2264	2121	0	0	4	4	2	6	0	11	0	1	0	1	0	0	0	0	9	71	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	6	121	0	0	0	0	0	0	0	39	13	0	5	0	2	0	0	0	0	0	6	6	0	0
703	723	"Dovjok Swamp"	48.75	28.25	290	"AWI"	290	2013	2335	2193	0	0	10	5	2	31	0	12	0	3	0	0	0	0	0	0	5	11	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	218	0	0	0	0	0	0	0	33	23	0	6	0	3	3	0	0	0	0	3	0	0	0
703	723	"Dovjok Swamp"	48.75	28.25	300	"AWI"	300	2056	2424	2255	1	1	8	2	1	9	0	4	0	3	0	0	0	0	0	0	7	57	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	12	116	0	0	0	0	0	0	0	26	12	0	6	0	1	0	0	0	0	0	6	8	0	0
703	723	"Dovjok Swamp"	48.75	28.25	310	"AWI"	310	2089	2547	2307	1	0	9	3	7	6	0	11	0	11	0	0	0	0	0	0	9	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	106	0	0	80	0	0	0	0	30	4	0	6	0	4	1	0	1	1	0	7	5	0	1
703	723	"Dovjok Swamp"	48.75	28.25	320	"AWI"	320	2116	2688	2356	0	0	1	6	7	10	0	4	0	3	0	1	0	0	0	0	16	42	0	0	0	0	1	0	5	0	0	0	3	0	0	1	0	0	0	0	0	4	33	0	0	80	0	0	0	0	19	12	0	5	0	2	1	1	4	1	3	6	11	0	2
703	723	"Dovjok Swamp"	48.75	28.25	330	"AWI"	330	2171	2847	2440	1	0	2	7	4	10	0	6	0	2	1	0	0	0	0	0	9	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	50	0	1	86	0	0	0	1	6	4	0	4	0	1	1	0	1	0	0	7	11	0	0
703	723	"Dovjok Swamp"	48.75	28.25	340	"AWI"	340	2253	3110	2617	0	0	3	3	7	3	0	2	0	4	0	1	0	0	0	0	9	12	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	56	0	0	0	0	0	0	0	2	4	0	1	0	1	0	0	1	0	0	7	7	0	0
703	723	"Dovjok Swamp"	48.75	28.25	350	"AWI"	350	2293	3415	2752	0	0	8	10	7	10	0	7	0	5	0	0	0	0	0	0	16	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	60	0	0	0	0	0	0	0	8	9	0	1	0	3	1	0	0	0	0	31	18	0	0
703	723	"Dovjok Swamp"	48.75	28.25	360	"AWI"	360	2319	3743	2874	0	1	12	4	4	14	0	7	0	18	0	0	0	0	0	0	54	25	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	6	40	0	0	99	0	0	0	1	36	12	5	6	1	4	0	0	5	0	0	29	59	0	0
703	723	"Dovjok Swamp"	48.75	28.25	370	"AWI"	370	3868	4854	4259	0	0	3	10	7	10	0	10	0	6	0	1	0	0	0	0	28	4	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	60	0	0	0	0	0	0	0	36	14	0	1	0	9	0	0	0	0	0	24	37	0	0
703	723	"Dovjok Swamp"	48.75	28.25	380	"AWI"	380	5360	5988	5644	0	0	6	3	2	8	0	5	0	1	0	1	0	0	0	0	20	28	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	67	0	0	0	1	0	0	0	33	16	0	6	0	2	0	0	1	0	0	17	25	0	1
703	723	"Dovjok Swamp"	48.75	28.25	390	"AWI"	390	6738	7256	7037	0	0	9	3	4	6	0	7	0	16	0	0	0	0	0	0	86	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	55	0	0	0	0	0	0	0	34	8	0	0	0	7	1	0	2	0	0	48	88	0	2
703	723	"Dovjok Swamp"	48.75	28.25	400	"AWI"	400	7196	7715	7492	0	0	6	2	4	8	0	12	0	14	0	0	0	0	0	0	84	22	0	0	0	0	1	0	9	0	0	0	0	0	0	0	0	0	1	0	0	2	49	0	0	0	0	0	0	0	32	4	7	2	0	5	1	1	3	0	0	44	86	1	4
703	723	"Dovjok Swamp"	48.75	28.25	410	"AWI"	410	7288	7759	7548	0	0	9	5	5	11	0	12	0	9	0	0	0	0	0	0	68	14	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	56	0	0	0	0	0	0	0	24	15	0	3	0	9	2	1	1	1	0	32	117	0	1
703	723	"Dovjok Swamp"	48.75	28.25	420	"AWI"	420	7352	7820	7608	0	0	4	3	4	13	0	9	0	13	0	0	0	0	0	0	130	11	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	2	4	72	0	1	0	0	0	0	0	56	16	0	6	1	5	1	1	1	0	0	80	154	0	6
703	723	"Dovjok Swamp"	48.75	28.25	430	"AWI"	430	7463	7891	7677	0	0	12	1	5	8	0	2	0	15	0	0	0	0	0	0	79	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	40	0	0	0	0	0	0	0	41	12	0	4	2	2	0	2	2	0	0	33	105	0	2
703	723	"Dovjok Swamp"	48.75	28.25	440	"AWI"	440	7597	7976	7772	0	0	7	4	4	8	0	6	0	17	0	0	0	0	0	0	92	18	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	4	0	0	0	3	67	0	1	0	0	0	0	0	32	14	0	2	0	1	1	0	2	0	0	39	159	0	1
703	723	"Dovjok Swamp"	48.75	28.25	450	"AWI"	450	7651	8164	7864	0	0	9	4	6	6	0	7	0	12	0	0	0	0	0	0	68	12	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	34	0	0	0	0	0	0	0	37	14	0	2	0	4	0	0	1	0	0	31	0	0	1
703	723	"Dovjok Swamp"	48.75	28.25	460	"AWI"	460	7700	8384	7956	0	0	7	12	2	7	0	10	0	13	0	1	0	0	0	0	97	12	1	1	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	6	73	0	0	119	0	0	0	0	43	14	0	4	0	1	1	1	2	0	0	49	102	0	2
703	723	"Dovjok Swamp"	48.75	28.25	470	"AWI"	470	7805	8515	8105	0	0	6	1	2	11	0	7	0	6	0	0	0	0	0	0	90	22	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	41	0	0	125	0	0	0	0	51	17	0	1	0	10	1	0	1	0	0	23	105	0	1
703	723	"Dovjok Swamp"	48.75	28.25	480	"AWI"	480	7857	8713	8245	0	1	11	4	5	10	0	13	0	17	0	0	0	0	0	0	135	5	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	69	0	0	0	0	0	0	0	65	18	0	3	0	4	1	0	4	0	0	53	149	0	4
703	723	"Dovjok Swamp"	48.75	28.25	490	"AWI"	490	7893	8991	8376	0	0	14	3	4	20	0	1	0	7	0	0	0	0	2	0	123	12	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	69	0	0	114	0	0	0	0	46	18	0	1	0	5	1	0	0	0	0	37	157	0	1
703	723	"Dovjok Swamp"	48.75	28.25	500	"AWI"	500	8089	9105	8509	0	0	6	4	4	5	0	5	0	19	0	0	0	0	0	0	113	9	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	1	55	0	0	0	0	0	0	0	22	6	0	1	0	3	1	0	0	0	0	19	120	0	0
703	723	"Dovjok Swamp"	48.75	28.25	510	"AWI"	510	8244	9200	8655	0	0	11	5	2	15	0	11	0	15	0	0	0	0	0	0	114	9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	5	40	0	0	0	0	0	0	0	31	15	0	1	0	3	0	0	0	0	0	38	0	0	2
703	723	"Dovjok Swamp"	48.75	28.25	520	"AWI"	520	8355	9339	8800	0	0	22	6	7	9	0	6	0	16	0	0	0	0	0	0	132	6	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	14	90	0	0	113	0	0	0	0	46	20	0	0	0	2	0	0	3	0	0	23	0	0	0
