NeotomaTaxonName,MHVar.2
Sium latifolium-type,Apiaceae
Smilax,Liliaceae-type
Solanaceae,Solanaceae
Solanum,Solanum
Solanum dulcamara,Solanum
Solanum nigrum,Solanum
Solanum nigrum-type,Solanum
Soldanella,Soldanella
Solidago,Compositae subfam. Asteroideae
Solidago-type,Compositae subfam. Asteroideae
Solidago virgaurea-type,Compositae subfam. Asteroideae
Sonchus,Compositae subfam. Cichorioideae
Sonchus-type,Compositae subfam. Cichorioideae
Sorbus,Rosaceae (non-operculate)
Sorbus-type,Rosaceae (non-operculate)
Sorbus aria,Rosaceae (non-operculate)
Sorbus aria-type,Rosaceae (non-operculate)
Sorbus aucuparia,Rosaceae (non-operculate)
Sorbus aucuparia-type,Rosaceae (non-operculate)
Sorbus torminalis,Rosaceae (non-operculate)
Spartium,Genista-group
Spartium junceum,Genista-group
Spergula,Spergularia-type
Spergula-type,Spergularia-type
Spergula arvensis,Spergula arvensis-type
Spergula arvensis-type,Spergularia-type
Spergula/Spergularia,Spergularia-type
Spergularia,Spergularia-type
Spergularia-type,Spergularia-type
Spiraea,Aruncus/Spiraea
Spiraea-type,Aruncus/Spiraea
Stachys,Galeopsis/Ballota-type
Stachys-type,Galeopsis/Ballota-type
Stachys sylvatica,Galeopsis/Ballota-type
Stachys sylvatica-type,Galeopsis/Ballota-type
Staphylea,Staphylea pinnata
Staphylea pinnata,Staphylea pinnata
Stellaria,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria-type,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria cf. S. holostea,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria cf. S. media,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria cf. S. nemorum,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria cf. S. palustris,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria graminea,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria holostea,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria holostea-type,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria palustris,Caryophyllaceae (periporate excl. Paronychioideae)
Stellaria undiff.,Caryophyllaceae (periporate excl. Paronychioideae)
Streptopus amplexifolius,Liliaceae-type
Suaeda,Chenopodiaceae/Amaranthaceae
Succisa,Dipsacaceae
Succisa-type,Dipsacaceae
Succisa pratensis,Dipsacaceae
Swertia,Gentianaceae
Swertia perennis,Gentianaceae
Symphytum,Boraginaceae
Symphytum-type,Boraginaceae
Syringa,Ligustrum-type
Syringa vulgaris,Ligustrum-type
Tamarix,Tamarix
Taraxacum,Compositae subfam. Cichorioideae
Taraxacum-type,Compositae subfam. Cichorioideae
Taraxacum officinale group,Compositae subfam. Cichorioideae
Taxodium,Juniperus-type
Taxus,Taxus baccata
Taxus baccata,Taxus baccata
Teucrium,Teucrium
Teucrium-type,Teucrium
Teucrium chamaedrys,Teucrium
Teucrium chamaedrys-type,Teucrium
Thalictrum,Thalictrum
Thalictrum-type,Thalictrum
Thalictrum aquilegiifolium,Thalictrum
Thalictrum flavum-type,Thalictrum
Thalictrum lucidum,Thalictrum
Thalictrum undiff.,Thalictrum
Theligonum,Theligonum cynocrambe
Theligonum cynocrambe,Theligonum cynocrambe
Thesium,Thesium
Thesium-type,Thesium
Thymelaea,Thymelaeaceae
Thymelaeaceae,Thymelaeaceae
Thymus,Labiatae (6)
Thymus-type,Labiatae (6)
Thymus/Mentha,Labiatae (6)
Thymus/Mentha-type,Labiatae (6)
Tilia,Tilia
Tilia cordata,Tilia
Tilia cordata-type,Tilia
Tilia cordata/T. platyphyllos,Tilia
Tilia platyphyllos,Tilia
Tilia platyphyllos-type,Tilia
Tilia undiff.,Tilia
Tofieldia,Tofieldia
Tofieldia pusilla,Tofieldia
Torilis arvensis,Apiaceae
Torilis arvensis-type,Apiaceae
Torilis japonica,Apiaceae
Torilis japonica-type,Apiaceae
Torilis nodosa,Apiaceae
Torilis nodosa-type,Apiaceae
Tozzia alpina,Odontites-type
Tribulus,Tribulus terrestris
Tribulus terrestris,Tribulus terrestris
Trientalis,Trientalis europaea
Trientalis europaea,Trientalis europaea
Trifolium,Trifolium-type
Trifolium-type,Trifolium-type
Trifolium alpinum-type,Trifolium-type
Trifolium arvense,Trifolium-type
Trifolium badium-type,Trifolium-type
Trifolium pratense,Trifolium-type
Trifolium pratense-type,Trifolium-type
Trifolium repens,Trifolium-type
Trifolium repens-type,Trifolium-type
Trifolium spadiceum,Trifolium-type
Trifolium striatum-type,Trifolium-type
Trifolium undiff.,Trifolium-type
Trinia glauca,Apiaceae
Trinia glauca-type,Apiaceae
Triticum,Poaceae
Triticum-type,Poaceae
Trollius,Trollius europaeus
Trollius-type,Trollius europaeus
Trollius europaeus,Trollius europaeus
Trollius europaeus-type,Trollius europaeus
Tsuga,Tsuga
Tsuga-type,Tsuga
Tsuga diversifolia-type,Tsuga
Tuberaria,Tuberaria
Turgenia latifolia,Apiaceae
Turgenia latifolia-type,Apiaceae
Tussilago-type,Compositae subfam. Asteroideae
Tussilago farfara,Compositae subfam. Asteroideae
Ulex,Genista-group
Ulex-type,Genista-group
Ulex/Cytisus-type,Genista-group
Ulex/Cytisus sect. Spartopsis,Genista-group
Ulmaceae,Ulmus/Zelkova
Ulmus,Ulmus/Zelkova
Ulmus glabra,Ulmus/Zelkova
Ulmus glabra-type,Ulmus/Zelkova
Ulmus laevis,Ulmus/Zelkova
Ulmus minor,Ulmus/Zelkova
Ulmus/Zelkova,Ulmus/Zelkova
Umbilicus rupestris,Crassulaceae
Umbilicus rupestris-type,Crassulaceae
Urtica,Urticaceae/Moraceae
Urtica-type,Urticaceae/Moraceae
Urtica cf. U. dioica,Urticaceae/Moraceae
Urtica cf. U. pilulifera,Urticaceae/Moraceae
Urtica dioica,Urticaceae/Moraceae
Urtica dioica-type,Urticaceae/Moraceae
Urtica membranacea-type,Urticaceae/Moraceae
Urtica pilulifera,Urticaceae/Moraceae
Urtica pilulifera-type,Urticaceae/Moraceae
Urtica undiff.,Urticaceae/Moraceae
Urtica urens,Urticaceae/Moraceae
Urtica/Parietaria,Urticaceae/Moraceae
Urticaceae,Urticaceae/Moraceae
Urticalean Rosids,Urticaceae/Moraceae
Vaccinium,Ericales (tetrads)
Vaccinium-type,Ericales (tetrads)
Vaccinium myrtillus,Ericales (tetrads)
Vaccinium oxycoccos,Ericales (tetrads)
Valeriana,Valerianaceae
Valeriana-type,Valerianaceae
Valeriana cf. V. dioica,Valerianaceae
Valeriana dioica,Valerianaceae
Valeriana dioica-type,Valerianaceae
Valeriana dioica subsp. simplicifolia,Valerianaceae
Valeriana excelsa subsp. sambucifolia-type,Valerianaceae
Valeriana montana-type,Valerianaceae
Valeriana officinalis,Valerianaceae
Valeriana officinalis-type,Valerianaceae
Valeriana tripteris,Valerianaceae
Valeriana tripteris-type,Valerianaceae
Valeriana undiff.,Valerianaceae
Valerianella,Valerianaceae
Valerianella dentata,Valerianaceae
Veratrum,Liliaceae-type
Veratrum-type,Liliaceae-type
Veratrum album,Liliaceae-type
Verbascum,Scrophulariaceae (colporate-reticulate)
Verbascum-type,Scrophulariaceae (colporate-reticulate)
Verbascum pulverulentum-type,Scrophulariaceae (colporate-reticulate)
Verbena,Verbena officinalis
Verbena officinalis,Verbena officinalis
Verbenaceae,Verbenaceae
Veronica,Rhinanthus-group
Veronica-type,Rhinanthus-group
Viburnum,Viburnum
Viburnum-type,Viburnum
Viburnum cf. V. opulus,Viburnum
Viburnum lantana,Viburnum
Viburnum lantana-type,Viburnum
Viburnum opulus,Viburnum
Viburnum opulus-type,Viburnum
Viburnum opulus/V. tinus,Viburnum
Viburnum tinus,Viburnum
Viburnum undiff.,Viburnum
Vicia,Lathyrus/Vicia-type
Vicia-type,Lathyrus/Vicia-type
Vicia-type sensu stricto,Lathyrus/Vicia-type
Vicia cf. V. cracca,Lathyrus/Vicia-type
Vicia cracca,Lathyrus/Vicia-type
Vicia cracca-type,Lathyrus/Vicia-type
Vicia faba,Lathyrus/Vicia-type
Vicia sylvatica,Lathyrus/Vicia-type
Vicia sylvatica-type,Lathyrus/Vicia-type
Vicia tetrasperma,Lathyrus/Vicia-type
Vicia/Lathyrus,Lathyrus/Vicia-type
Vicia/Lathyrus-type,Lathyrus/Vicia-type
Vincetoxicum,Vincetoxicum
Viola,Viola
Viola arvensis,Viola
Viola arvensis-type,Viola
Viola canina-type,Viola
Viola odorata-type,Viola
Viola riviniana,Viola
Viola tricolor,Viola
Viola tricolor-type,Viola
Violaceae,Viola
Viscum,Viscum album
Viscum album,Viscum album
Viscum album-type,Viscum album
Viscum album sensu lato,Viscum album
Vitis,Vitis
Vitis vinifera,Vitis
Withania,Withania
Xanthium,Ambrosia/Xanthium
Xanthium-type,Ambrosia/Xanthium
Xanthium spinosum-type,Ambrosia/Xanthium
Xeranthemum,Cynareae
Zea,Poaceae
Zea mays,Poaceae
Zelkova,Ulmus/Zelkova
Ziziphus,Rhamnaceae
Zygophyllum,Zygophyllum
Abies alba|pollen|NISP,Abies
Abies|pollen|NISP,Abies
Aconitum lycoctonum subsp. septentrionale,Aconitum
"Alnus (shrub, pale shallow pores)",Alnus
"Alnus (tree, robust deep pores)",Alnus
Alnus incana-type,Alnus
Althaea officinalis,Malvaceae
Amaranthus,Chenopodiaceae/Amaranthaceae
Amygdaloideae,Rosaceae (non-operculate)
Anagallis cf. A. arvensis,Anagallis-type
Anagallis cf. A. tenella,Anagallis-type
Anemone hortensis-type,Ranunculus-type
Angiospermae undiff. (herbs),Indeterminable: unknown
Anthemideae,Compositae subfam. Asteroideae
Anthericum liliago,Liliaceae-type
Arum/Acorus,Indeterminable: unknown
Asteroideae,Compositae subfam. Asteroideae
Asteroideae pro parte,Compositae subfam. Asteroideae
Asteroideae undiff.,Compositae subfam. Asteroideae
Asteroideae-type,Compositae subfam. Asteroideae
Astragalus danicus,Astragalus-type
Avena/Triticum group,Poaceae
Betula (hybrid),Betula
Betula (tree),Betula
"Betula/Alnus/Corylus/Myrica (type 114, HdV)",Indeterminable: unknown
Betula/Carpinus,Indeterminable: unknown
Bromus,Poaceae
Bryonia alba/Helianthemum,Indeterminable: unknown
Bryonia cretica,Bryonia
Bupleurum rigidum-type,Apiaceae
Calceolaria,Mimulus-type
Campanula medium,Campanulaceae
Cannabaceae cf. Cannabis sativa,Cannabis/Humulus
Cannabaceae sensu stricto,Cannabis/Humulus
Cardueae,Cynareae
Cardueae-type,Cynareae
Carduoideae,Cynareae
Cathaya-type,Cathaya-type
Centaurea cf. C. cyanus,Centaurea cyanus-type
Centaurea sp.,Centaurea
cf. Aconitum,Indeterminable: unknown
cf. Acorus,Indeterminable: unknown
cf. Agrimonia,Indeterminable: unknown
cf. Alchemilla,Indeterminable: unknown
cf. Anthericum,Liliaceae-type
cf. Artemisia,Indeterminable: unknown
cf. Bartsia,Rhinanthus-group
cf. Brassicaceae,Indeterminable: unknown
cf. Campanulaceae,Indeterminable: unknown
cf. Carpinus,Indeterminable: unknown
cf. Cedrus,Coniferae (vesiculate)
cf. Celtis,Indeterminable: unknown
cf. Ceratocapnos claviculata,Corydalis-group
cf. Ceratonia,Indeterminable: unknown
cf. Chelidonium-type,Indeterminable: unknown
cf. Chrysanthemum,Compositae subfam. Asteroideae
cf. Chrysosplenium,Indeterminable: unknown
cf. Cirsium,Compositae subfam. Asteroideae
cf. Convolvulus,Indeterminable: unknown
cf. Cyperaceae-type,Indeterminable: unknown
cf. Daphne,Indeterminable: unknown
cf. Diapensia lapponica,Indeterminable: unknown
cf. Digitalis,Indeterminable: unknown
cf. Dryas,Rosaceae (non-operculate)
cf. Euphorbia,Indeterminable: unknown
cf. Fabaceae,Indeterminable: unknown
cf. Filipendula,Indeterminable: unknown
cf. Frangula,Indeterminable: unknown
cf. Frangula alnus,Indeterminable: unknown
cf. Galeopsis,Lamiaceae (tricolpate)
cf. Geum,Rosaceae
cf. Helianthemum,Compositae subfam. Asteroideae
cf. Herniaria,Indeterminable: unknown
cf. Hippophae rhamnoides,Indeterminable: unknown
cf. Hornungia-type,Brassicaceae
cf. Hypericum,Indeterminable: unknown
cf. Hypericum-type,Indeterminable: unknown
cf. Ilex,Indeterminable: unknown
cf. Juncus,Indeterminable: unknown
cf. Juniperus,Indeterminable: unknown
cf. Larix|pollen|NISP,Indeterminable: unknown
cf. Larix-type,Indeterminable: unknown
cf. Limosella aquatica,Scrophulariaceae (colporate-reticulate)
cf. Lithospermum,Boraginaceae
cf. Littorella,Plantaginaceae
cf. Lobelia,Indeterminable: unknown
cf. Lonicera,Indeterminable: unknown
cf. Lotus,Indeterminable: unknown
cf. Lycopsis arvensis,Indeterminable: unknown
cf. Lysimachia,Indeterminable: unknown
cf. Maianthemum,Liliaceae-type
cf. Melampyrum,Indeterminable: unknown
cf. Mercurialis,Indeterminable: unknown
cf. Montia,Indeterminable: unknown
cf. Myricaria germanica,Indeterminable: unknown
cf. Myrtus,Indeterminable: unknown
cf. Olea,Indeterminable: unknown
cf. Oxyria,Indeterminable: unknown
cf. Oxyria/Rumex acetosa,Indeterminable: unknown
cf. Oxytropis,Fabaceae
cf. Papaver,Indeterminable: unknown
cf. Pedicularis,Indeterminable: unknown
cf. Persicaria amphibia,Indeterminable: unknown
cf. Platanus,Indeterminable: unknown
cf. Polemonium,Indeterminable: unknown
cf. Polygonum,Indeterminable: unknown
cf. Populus,Indeterminable: unknown
cf. Populus tremula,Indeterminable: unknown
cf. Quercus,Indeterminable: unknown
cf. Ranunculus,Ranunculus-type
cf. Rhamnus,Indeterminable: unknown
cf. Rhinanthus,Rhinanthus-group
cf. Rhinanthus-type,Rhinanthus-group
cf. Rubus chamaemorus,Indeterminable: unknown
cf. Ruta,Indeterminable: unknown
cf. Sambucus,Indeterminable: unknown
cf. Samolus,Indeterminable: unknown
cf. Saxifraga granulata,Indeterminable: unknown
cf. Saxifraga oppositifolia-type,Indeterminable: unknown
cf. Saxifraga stellaris-type,Indeterminable: unknown
cf. Scilla/Fritillaria,Liliaceae-type
cf. Scutellaria,Lamiaceae (tricolpate)
cf. Sedum,Indeterminable: unknown
cf. Sedum-type,Indeterminable: unknown
cf. Sinapis,Brassicaceae
cf. Stachys sylvatica,Lamiaceae (tricolpate)
cf. Succisa,Indeterminable: unknown
cf. Taxus,Indeterminable: unknown
cf. Thalictrum,Indeterminable: unknown
cf. Trollius europaeus,Indeterminable: unknown
cf. Urtica,Indeterminable: unknown
cf. Valeriana,Indeterminable: unknown
cf. Veratrum,Liliaceae-type
cf. Veronica,Rhinanthus-group
cf. Viburnum,Indeterminable: unknown
cf. Vicia-type,Fabaceae
cf. Viola,Indeterminable: unknown
cf. Viscum,Indeterminable: unknown
cf. Xanthium,Compositae subfam. Asteroideae
cf. Xanthium-type,Compositae subfam. Asteroideae
cf. Zelkova,Indeterminable: unknown
Chamaenerion-type,Onagraceae
Chamaerops humilis,Chamaerops
Chenopodiaceae sensu stricto,Chenopodiaceae/Amaranthaceae
Cichorieae,Compositae subfam. Cichorioideae
Cichorioideae,Compositae subfam. Cichorioideae
Cichorioideae undiff.,Compositae subfam. Cichorioideae
Cichorioideae-type,Compositae subfam. Cichorioideae
Circaea lutetiana-type,Onagraceae
Cirsium/Gundelia,Compositae subfam. Asteroideae
Comandra umbellata subsp. elegans,Comandra umbellata subsp. elegans
Coniferae undiff.,Coniferae (vesiculate)
Coniferae-type,Coniferae (vesiculate)
Coniferae (saccate),Coniferae (vesiculate)
Convolvulaceae,Indeterminable: unknown
Convolvulaceae undiff.,Convolvulaceae
Coriandrum sativum,Apiaceae
Cornus suecica (thick wall),Cornus
Corrigiola litoralis-type,Corrigiola
Corrigiola telephiifolia,Corrigiola
Corrigiola telephiifolia-type,Corrigiola
Cucumis sativus,Cucumis
Dalechampia,Euphorbiaceae
Daphne laureola,Thymelaeaceae
Dipsacoideae,Dipsacaceae
Dipsacoideae undiff.,Dipsacaceae
Echium vulgare-type,Echium/Onosma
Empetrum hermaphroditum,Ericales (tetrads)
Erica ciliaris,Ericales (tetrads)
Erica|pollen|NISP,Ericales (tetrads)
Ericaceae cf. Calluna,Ericales (tetrads)
Ericaceae cf. Cassiope,Ericales (tetrads)
Erodium cicutarium-type,Erodium
Erythrina,Erythrina-type
Erythrina-type,Erythrina-type
Euphorbiaceae cf. Mercurialis,Indeterminable: unknown
Faboideae,Fabaceae
Faboideae undiff.,Fabaceae
Falcaria,Apiaceae
Fallopia cf. F. convolvulus,Polygonum-type (tricolporate)
Fedia cornucopiae,Valerianaceae
Filipendula vulgaris-type,Filipendula
Foeniculum-type,Apiaceae
Forsythia,Forsythia
Genisteae-type,Fabaceae
Gentianaceae cf. Gentianella,Gentianaceae
Geranium molle-type,Geraniaceae
Gladiolus illyricus-type,Liliaceae-type
Gypsophila arrostii,Caryophyllaceae (periporate excl. Paronychioideae)
Helianthus,Compositae subfam. Asteroideae
Hippocastanoideae,Indeterminable: unknown
Hordeum group,Poaceae
Humulus/Cannabis sativa,Cannabis/Humulus
Hyacinthoides-type,Liliaceae-type
Hypericum cf. H. elodes,Hypericum
Hystrix,delete
Hystrix (type A),delete
Hystrix (type B),delete
Illecebrum verticillatum-type,Caryophyllaceae subfam. Paronychioideae
Juniperus|pollen|NISP,Juniperus-type
Lamiaceae (tricolpate),Lamiaceae (tricolpate)
Larix|pollen|NISP,Larix/Pseudotsuga
Limonium humile-type,Plumbaginaceae
Liquidambar,Liquidambar
Liriodendron tulipifera,Liriodendron
Lithodora fruticosa-type,Boraginaceae
Logfia-type,Compositae subfam. Asteroideae
Lotus pedunculatus,Lotus-type
Lotus pedunculatus-type,Lotus-type
Malvaceae sensu stricto,Malvaceae
Malvaceae undiff.,Malvaceae
Micranthes nivalis/M. tenuis,Saxifraga
Mimulus,Mimulus-type
Morus alba-type,Urticaceae/Moraceae
Myrtus-type,Myrtaceae
Normapolles,delete
Nyssa,Nyssa
Onagraceae cf. Epilobium,Onagraceae
Paeonia,Paeonia
Paris quadrifolia-type,Liliaceae-type
Parnassia palustris-type,Parnassia palustris
Phillyrea angustifolia-type,Phillyrea
Phytolacca,Phytolacca
Picea abies|pollen|NISP,Picea
Picea|pollen|NISP,Picea
Pinguicula vulgaris-type,Pinguicula
Pinus sylvestris|pollen|NISP,Pinus
Pinus|clump|pollen|NISP|clump|pollen|NISP,Pinus
Pinus|NA|pollen|NISP|NA|pollen|NISP,Pinus
Pinus|pollen|NISP,Pinus
Plantago montana,Plantago
Plantago subulata-type,Plantago
Plantago uniflora,Plantaginaceae
Poaceae (<32 µm),Poaceae
Poaceae (>32 µm),Poaceae
Poaceae (annulus >10 µm),Poaceae
Poaceae (annulus 8-10 µm),Poaceae
Poaceae (Cerealia) cf. Secale,Poaceae
Poaceae (Cerealia-type) cf. Avena/Triticum group,Poaceae
Poaceae (Cerealia-type) cf. Hordeum group,Poaceae
Poaceae (Cerealia-type) undiff.,Poaceae
Poaceae|clump|pollen|NISP,Poaceae
Poaceae|NA|pollen|NISP,Poaceae
Poaceae|reworked|pollen|NISP,Poaceae
Polygonoideae pro parte,Polygonum-type (tricolporate)
Polygonum cf. P. aviculare,Polygonum-type (tricolporate)
Polygonum sensu lato,Polygonum-type (tricolporate)
Polygonum-type (tricolporate),Polygonum-type (tricolporate)
Primula integrifolia-type,Primula
Pseudotsuga menziesii,Larix/Pseudotsuga
Quercus faginea-type,Quercus
Rhamnaceae undiff.,Rhamnaceae
Rhododendron|pollen|NISP,Ericales (tetrads)
Rhus group,Rhus-group
Ribes alpinum-type,Ribes
Ribes undiff.,Ribes
Rosaceae (trees) undiff.,Rosaceae (non-operculate)
Rosaceae cf. Geum,Rosaceae
Rubus cf. R. idaeus,Rosaceae (non-operculate)
Rubus cf. R. saxatilis,Rosaceae (non-operculate)
Rumex acetosella/Oxyria digyna-type,Rumex/Oxyria
Rumex cf. R. longifolius,Rumex aquaticus-type
Rumex scutatus-type,Rumex/Oxyria
Rumex/Oxyria digyna undiff.,Rumex/Oxyria
Sagina procumbens-type,Caryophyllaceae (periporate excl. Paronychioideae)
Salix|clump|pollen|NISP,Salix
Salix|NA|pollen|NISP,Salix
Sarcopoterium-type,Sanguisorba-type
Saxifraga oppositifolia/S. aizoides-type,Saxifraga
Saxifraga tridactylitis-type,Saxifraga
Secale (primitive),Poaceae
Seseli,Apiaceae
Sideritis (tetracolpate),Labiatae (6)
Silene viscaria,Caryophyllaceae (periporate excl. Paronychioideae)
Silene vulgaris,Caryophyllaceae (periporate excl. Paronychioideae)
Sileneae,Caryophyllaceae (periporate excl. Paronychioideae)
Silene-type undiff.,Caryophyllaceae (periporate excl. Paronychioideae)
Simethis planifolia,Simethis mattiazzii
Smyrnium,Apiaceae
Smyrnium-type,Apiaceae
Solidago-type/Saussurea-type,Compositae subfam. Asteroideae
Spermatophyta undiff. (cf. upland herbs),Indeterminable: unknown
Spermatophyta undiff. (deciduous trees),Indeterminable: unknown
Spermatophyta undiff. (shrubs),Indeterminable: unknown
Spermatophyta undiff. (upland herbs),Indeterminable: unknown
Succisa pratensis-type,Dipsacaceae
Symplocos,Symplocos
Tordylium maximum,Tordylium maximum
Trachycarpus fortunei,Trachycarpus
Triticum spelta-type,Poaceae
Tsuga heterophylla,Tsuga
Vaccinium group,Ericales (tetrads)
Valerianella locusta-type,Valerianaceae
Valerianella-type,Valerianaceae
Valerianoideae,Valerianaceae
Vicia faba-type,Lathyrus/Vicia-type
Viola-type,Viola
Zea mays-type,Poaceae
